"suburb","postcode","municipality"
"Heidelberg",3084,"City of Banyule"
"Balwyn",3103,"City of Boroondara"
"Kew",3101,"City of Boroondara"
"Keilor",3036,"City of Brimbank"
"Sunshine",3020,"City of Brimbank"
"Preston",3072,"City of Darebin"
"Reservoir",3073,"City of Darebin"
"Altona",3018,"City of Hobsons Bay"
"Williamstown",3016,"City of Hobsons Bay"
"Broadmeadows",3047,"City of Hume"
"Roxburgh Park",3064,"City of Hume"
"Footscray",3011,"City of Maribyrnong"
"Maribyrnong",3032,"City of Maribyrnong"
"Croydon",3136,"City of Maroondah"
"Ringwood",3134,"City of Maroondah"
"Carlton",3053,"City of Melbourne"
"Melbourne",3000,"City of Melbourne"
"Essendon",3040,"City of Moonee Valley"
"Airport West",3042,"City of Moonee Valley"
"Brunswick",3056,"City of Moreland"
"Coburg",3058,"City of Moreland"
"Dromana",3936,"Shire of Mornington Peninsula"
"McCrae",3938,"Shire of Mornington Peninsula"
"Diamond Creek",3089,"Shire of Nillumbik"
"Greensborough",3088,"Shire of Nillumbik"
"Albert Park",3206,"City of Port Phillip"
"St Kilda",3182,"City of Port Phillip"
"Glen Iris",3146,"City of Stonnington"
"Toorak",3142,"City of Stonnington"
"Box Hill North",3129,"City of Whitehorse"
"Surrey Hills",3127,"City of Whitehorse"
"Mill Park",3082,"City of Whittlesea"
"Hoppers Crossing",3029,"City of Wyndham"
"Werribee",3030,"City of Wyndham"
"Alphington",3078,"City of Yarra"
"Richmond",3121,"City of Yarra"
